transect_id,along_baseline_m,transect_center_x_utm,transect_center_y_utm,transect_center_longitude,transect_center_latitude,1952,1990,1995,2000,2005,2010,2015,2020,2025
277,138500,223689.14504247587,2509031.3902210193,90.31107187945446,22.665862269862185,4968.727787000098,,699.8047002481762,,,,1767.9859569715918,990.8975565380824,713.7314492432051
278,139000,223689.14504247587,2509531.3902210193,90.31098387974858,22.670374183809702,1196.5501804658852,,4866.049340286874,,,,4949.1920885869185,4921.477846091002,4949.1920885869185
279,139500,223689.14504247587,2510031.3902210193,90.31089585769345,22.674886094893022,895.8045677877963,,,,,,,,
280,140000,223689.14504247587,2510531.3902210193,90.31080781328583,22.679398003111647,1544.709982231725,,,,,,,,
281,140500,223689.14504247587,2511031.3902210193,90.3107197465225,22.683909908465107,1622.5043983179203,,,,,,,,
282,141000,223689.14504247587,2511531.3902210193,90.31063165740011,22.688421810952903,756.4162338852766,,,,,,,,
283,141500,223689.14504247587,2512031.3902210193,90.31054354591546,22.692933710574557,1014.6516387870943,,,,,,,,
284,142000,223689.14504247587,2512531.3902210193,90.31045541206525,22.697445607329573,2608.52869220078,,,,,,,,
285,142500,223689.14504247587,2513031.3902210193,90.3103672558462,22.701957501217485,2863.5411731608037,,,,,,,,
286,143000,223689.14504247587,2513531.3902210193,90.31027907725507,22.706469392237786,3101.7300671246776,,,,,,,,
287,143500,223689.14504247587,2514031.3902210193,90.31019087628857,22.710981280389994,3025.584951110999,,,,,,,,
288,144000,223689.14504247587,2514531.3902210193,90.31010265294343,22.71549316567364,3044.6315740741557,,,,,,,,
289,144500,223689.14504247587,2515031.3902210193,90.31001440721637,22.720005048088225,3204.132507801405,,,,,,,,
290,145000,223689.14504247587,2515531.3902210193,90.30992613910414,22.724516927633264,3137.9484498093952,,,,,,,,
291,145500,223689.14504247587,2516031.3902210193,90.30983784860341,22.72902880430827,3169.9506873865903,,,,,,,,
292,146000,223689.14504247587,2516531.3902210193,90.30974953571096,22.733540678112767,2978.8161379533703,,,,,,,,
293,146500,223689.14504247587,2517031.3902210193,90.30966120042348,22.738052549046255,2811.659854448837,,,,,,,,
294,147000,223689.14504247587,2517531.3902210193,90.3095728427377,22.742564417108262,3028.6369979943847,,,,,,,,
295,147500,223689.14504247587,2518031.3902210193,90.30948446265033,22.747076282298305,3525.7818301767984,,,,,,,,
296,148000,223689.14504247587,2518531.3902210193,90.3093960601581,22.75158814461588,3685.130872622627,,,,,,,,
297,148500,223689.14504247587,2519031.3902210193,90.30930763525771,22.75610000406052,3938.11778003574,,,,,,,,
298,149000,223689.14504247587,2519531.3902210193,90.3092191879459,22.76061186063173,4259.52780006887,,,,,,,,
299,149500,223689.14504247587,2520031.3902210193,90.30913071821938,22.765123714329025,4263.167600809102,,,,,,,,
300,150000,223689.14504247587,2520531.3902210193,90.30904222607482,22.76963556515193,,,,,,,,,
301,150500,223689.14504247587,2521031.3902210193,90.30895371150902,22.77414741309995,4796.408734139055,,,,,,,,
302,151000,223689.14504247587,2521531.3902210193,90.3088651745186,22.778659258172603,4931.396801927593,,,,,,,,
303,151500,223689.14504247587,2522031.3902210193,90.30877661510033,22.7831711003694,4921.139244277729,,,,,,,,
304,152000,223689.14504247587,2522531.3902210193,90.30868803325089,22.787682939689873,4854.823676943401,,,,,,,,
305,152500,223689.14504247587,2523031.3902210193,90.30859942896701,22.792194776133513,4686.086286778096,,,,,,,,
306,153000,223689.14504247587,2523531.3902210193,90.30851080224538,22.79670660969985,4712.0014151573705,,4949.550922125345,4949.550924716052,4921.86207665861,4921.86207665861,4894.173221654171,4811.106614953635,4811.106614953635
307,153500,223689.14504247587,2524031.3902210193,90.3084221530827,22.801218440388404,4268.683776652819,4404.7361637322465,4377.048091269593,4377.048088326526,4377.048088326526,4349.360005957977,4570.864470617671,4238.607606858306,4238.607606858306
308,154000,223689.14504247587,2524531.3902210193,90.3083334814757,22.80573026819867,3881.4234957763983,4801.320966411673,4996.125392034446,3998.393181585212,4496.762815157301,3172.8441851636744,3804.5821580585907,4247.578281347727,4247.578281347727
309,154500,223689.14504247587,2525031.3902210193,90.30824478742107,22.810242093130185,3997.44287257237,2886.7459628810175,2886.7459628809884,2942.1221976023226,2748.3055011676042,4505.72697764248,4588.785610207211,4588.785610207211,4588.785610207211
310,155000,223689.14504247587,2525531.3902210193,90.30815607091552,22.814753915182447,4198.899982173927,2102.2978473793482,1686.9936293184,1936.1758589255915,3822.5577454412414,1603.932986866188,2462.2294273331936,3794.8722378693637,3822.5577300683944
311,155500,223689.14504247587,2526031.3902210193,90.30806733195574,22.81926573435498,1750.551539644046,4861.7566409664,841.5729038575082,11.009695802116767,598.0740354770096,3554.701924550638,813.8875659728656,1733.1937690534687,2203.856700738106
312,156000,223689.14504247587,2526531.3902210193,90.30797857053845,22.8237775506473,1391.7355624302581,4741.734624746197,2194.6657798635424,4504.945976994903,865.7842893763445,4769.4204893292335,4769.4204893292335,782.7297074720555,782.7297074720555
313,156500,223689.14504247587,2527031.3902210193,90.30788978666033,22.828289364058925,4051.2629853933176,4624.648049695796,4455.6089352396375,1856.357462626038,2434.632034616312,1493.368138486403,856.6354576200829,4455.608897267812,2296.2103511806927
314,157000,223689.14504247587,2527531.3902210193,90.30780098031806,22.832801174589367,1801.7930469216953,4141.816526127746,3837.2942237745447,4799.7075977525965,4114.132642217737,2834.2962542271125,1373.463860111573,1318.0975373499095,1318.0975373499095
315,157500,223689.14504247587,2528031.3902210193,90.30771215150838,22.837312982238142,3675.966737309791,4282.739222320932,3828.0433658520633,3828.0433599503303,4282.739222320932,3828.0433422451897,3855.7262406666414,3883.4091582897818,3883.409152865992
316,158000,223689.14504247587,2528531.3902210193,90.30762330022799,22.84182478700476,1036.3232736734208,3738.1246971444925,3652.6990256081626,4734.601915142208,3708.0628945359786,4402.443828760064,3793.484777179605,3791.108803345269,3793.484777179605
317,158500,223689.14504247587,2529031.3902210193,90.30753442647354,22.846336588888747,3042.1934795028938,3505.0451544916723,3532.7261495358252,3532.7261547346425,3311.278433697764,3311.278433697764,3311.278434574371,3311.278433697764,3311.278433697764
318,159000,223689.14504247587,2529531.3902210193,90.30744553024175,22.85084838788961,1192.408135980717,3357.398924034147,3357.3989143621293,3839.1709976856364,3811.492841531872,893.9038001376612,3357.3988823780383,4129.554668209428,4088.2744868151785
319,159500,223689.14504247587,2530031.3902210193,90.30735661152931,22.855360184006873,3093.9600282029714,3071.36484260601,3071.3648496789974,3043.685793552664,3043.685793552664,26.71218490001047,3043.685793552664,1382.955757759919,1382.955757759919
320,160000,223689.14504247587,2530531.3902210193,90.30726767033293,22.859871977240047,2690.0004570444,2397.855820018798,2425.5337908393994,3967.8892932744056,2480.8897539005266,1069.3215908651473,286.8735302500136,2619.2797865539906,2619.2797865539906
321,160500,223689.14504247587,2531031.3902210193,90.30717870664927,22.86438376758865,2178.290770202002,1171.8985767855484,1807.4237588839896,1890.4544770781358,434.3821421855246,4779.479148113111,2084.193125703663,2250.2551026706933,2250.2551026706933
322,161000,223689.14504247587,2531531.3902210193,90.30708972047505,22.868895555052188,1300.6289505325549,830.961269163643,3985.9015945084975,3819.854372967471,526.5325862359023,3653.8069001209806,554.2079051378241,554.2077684681863,3819.854372967471
323,161500,223689.14504247587,2532031.3902210193,90.30700071180694,22.873407339630194,2073.726236638642,507.98088002964505,784.725387952989,4354.666504774446,3939.563055640523,646.353204129613,3247.720483544108,2583.5475022660976,3109.351444791566
324,162000,223689.14504247587,2532531.3902210193,90.3069116806416,22.877919121322172,2162.3300031077233,2620.27754839469,2730.969644218858,295.7177042264666,268.0440513032663,2094.488580850215,2011.4690389736788,268.04403035063297,268.04403035063297
325,162500,223689.14504247587,2533031.3902210193,90.30682262697579,22.88243090012763,1414.5857995376282,692.2695219831076,692.2695219831076,719.9421769660548,4483.3518035378365,1771.4961691407952,4538.69509605717,775.2873777960194,775.2873777960194
326,163000,223689.14504247587,2533531.3902210193,90.30673355080611,22.886942676046115,1440.547598465695,4353.996189719619,4437.008473863039,4603.032876455371,4603.032886099303,4603.032929324079,4630.703584340168,4658.374541447294,4713.715663655719
327,163500,223689.14504247587,2534031.3902210193,90.30664445212932,22.89145444907711,2605.139786741842,4556.689453549567,4660.540771705884,4695.038443354511,4667.3686970856215,4639.69971279733,4667.368709038914,4667.368888341152,4695.038505732518
328,164000,223689.14504247587,2534531.3902210193,90.30655533094206,22.895966219220153,2860.9245867207355,4731.702407020639,4731.702421974071,4676.36486655951,4648.696195993223,4648.69615789497,4648.696119796688,4648.695837970561,4648.695837970561
329,164500,223689.14504247587,2535031.3902210193,90.30646618724104,22.900477986474748,3560.6209930844198,4768.367147763842,4740.698370885424,4657.6944748839305,4630.026504123671,4602.35851167317,4630.026487973402,4602.358514532942,4602.358514532942
330,165000,223689.14504247587,2535531.3902210193,90.3063770210229,22.904989750840418,4111.30654794618,4777.363301916426,4722.028794541984,4639.0277354243735,4556.026536203222,4528.359514358308,4528.359444996109,4473.025293598417,4473.025293598417
